PID,Display_Name,Tag1,Tag2,Phone,Story
1010013100030006,F.L≡dy,服装,女装,010-82148263,
1010013100030007,AINTLUCK,服装,女装,,
1010013100030008,Rebecca,服装,女装,,
1010013100030009,ANNA SUI,个护化妆,化妆品,010-82148624,
1010013100030010,莱姿,服装,女装,,
1010013100030011,奥淇唯艺,服装,女装,,
1010013100030012,赛斯特,服装,女装,010-82148357,
1010013100030013,玫而美,服装,女装,,
1010013100030014,PORTS,服装,女装,,
1010013100030015,Brooks Brothers,服装,男装,,
1010013100030016,DKNY,服装,男装,,
1010013100030017,CALVIN KLEIN,服装,男装,010-62166659,
1010013100030018,Kanojao,服装,女装,,
1010013100030019,SETFANEL,服装,女装,,
1010013100030020,Jiggie Studio,服装,女装,,
1010013100030021,歌力思,服装,女装,,
1010013100030022,奥菲欧,服装,女装,,
1010013100030023,KORADIOR,服装,女装,,
1010013100030024,米茜尔,服装,女装,,
1010013100030025,伊蒂雅,服装,女装,,
1010013100030026,Lime Flare,服装,女装,,
1010013100030027,GANT,服装,女装,,
1010013100030028,雅莹,服装,女装,010-62118802,
1010013100030029,COSTA COFFEE,餐饮,咖啡厅,,
1010013100030030,塞斯克瑞,服装,女装,,
1010013100030031,西贝伦,服装,女装,,
1010013100030032,DELUXE AND VINCI,服装,女装,,
1010013100030033,LIEDOW,服装,女装,,
1010013100030034,FILON VIRO,服装,女装,,
1010013100030035,赛吉琥珀,其他,珠宝,,
1010013100030036,Coach,服装,箱包,010-62142385,
1010013100030037,SWATCH,其他,钟表,010-82148377,
1010013100030038,MORELLATO,其他,珠宝,,
1010013100030039,oxette,其他,珠宝,,
1010013100030040,CADENZA,其他,珠宝,010-82148280,
1010013100030041,Folli Follie,其他,珠宝,,
1010013100030042,AESTHEXIX,,,,
1010013100030043,MARCBY MAEC.JACOBS,服装,女装,,
1010013100030044,ZAA DAA,服装,女装,,
1010013100030045,ORIGIN,服装,女装,010-62110566,
1010013100030046,名品眼镜,其他,女装,,
1010013100030047,黛玛诗,服装,女装,,
1010013100030048,YINER,服装,女装,,
1010013100030049,蒙迪爱尔,服装,女装,,
1010013100030050,鄂尔多斯,服装,女装,,
1010013100030051,JORYA,服装,女装,,
1010013100030052,兰丝绘,服装,女装,,
1010013100030053,LA FEE,服装,女装,,
1010013100030054,IMM,服装,女装,010-62156031,
1010013100030055,EXCEPTION,服装,女装,,
1010013100030056,INSUN,服装,男装,010-62160309,
1010013100030057,凯瑞拉,服装,女装,,
1010013100030058,VESAS Collection,服装,女装,,
1010013100030059,M.TSUBOMI,服装,女装,,
1010013100030060,JEFEN,服装,女装,010-62167177,
1010013100030061,KLOVA,服装,女装,,
1010013100030062,CHLOSIO,服装,女装,,
1010013100030063,ELIE SAAB,服装,女装,,
1010013100030064,CASIO,服装,女装,,
1010013100030065,MONET,服装,女装,,
1010013100030066,芮雅,服装,女装,,
1010013100030067,MARELLA,服装,女装,010-62162351,
1010013100030068,i Blues,服装,女装,,
1010013100030069,Juicy Couture,服装,女装,,
1010013100030070,Feraud,服装,女装,,
1010013100040000,ICICLE,服装,女装,010-62195669,
1010013100040001,Decoster,服装,女装,010-62165817,
1010013100040002,VOV,服装,女装,,
1010013100040003,MOISSAL.PARIAS,服装,女装,,
1010013100040004,ZUKKA.PRO,服装,女装,010-62198067,
1010013100040005,ZUCZUG,服装,女装,010-82148157,
1010013100040006,Deco,服装,女装,,
1010013100040007,BUOUBVOV,服装,女装,010-62155348,
1010013100040008,SC Fashion,服装,女装,,
1010013100040009,AMASS,服装,女装,,
1010013100040010,Master Su,服装,女装,010-62116013,
1010013100040011,Weisi,服装,女装,,
1010013100040012,斯琴,服装,女装,010-82148647,
1010013100040013,JEEP,体育,运动装,15910873609,
1010013100040014,READ MA,服装,女装,,
1010013100040015,CK Jeans,服装,男装,,
1010013100040016,Armani Jeans,服装,男装,,
1010013100040017,G-STAR RAW,服装,男装,,
1010013100040018,LACOSTE,服装,男装,,
1010013100040019,Teenie Weenie,服装,女装,,
1010013100040020,ONLY,服装,女装,,
1010013100040021,Ochirly,服装,女装,010-62118876,
1010013100040022,Kipling,服装,男装,,
1010013100040023,米莲诺,服装,女装,,
1010013100040024,美术馆,服装,女装,,
1010013100040025,生活素材,服装,女装,,
1010013100040026,Golden Point,服装,女装,,
1010013100040027,DILAKS,服装,女装,,
1010013100040028,伊慧达,服装,女装,,
1010013100040029,CHARLIE's ANGELS,服装,女装,,
1010013100040030,LTAM Mark,服装,女装,,
1010013100040031,FRAAS,服装,女装,15712893836,
1010013100040032,ALA,服装,女装,,
1010013100040033,Versace,服装,女装,,
1010013100040034,MARJA KURKI,服装,女装,,
1010013100040035,卡秀,服装,女装,,
1010013100040036,粉红玛琍,服装,女装,010-82148379,
1010013100040037,格格,服装,女装,010-62118062,
1010013100040038,ATSUGI,服装,女装,,
1010013100040039,LA CLOVER,服装,女装,,
1010013100040040,SALUTE,服装,女装,,
1010013100040041,黛安芬,服装,内衣,010-82148350,
1010013100040042,华歌尔,服装,内衣,010-82148370,
1010013100040043,安莉芳 Triumph,服装,内衣,,
1010013100040044,Embry Form,服装,内衣,,
1010013100040045,Kid Blue,服装,内衣,010-62116149,
1010013100040046,Aimer,服装,内衣,,
1010013100040047,T.B2 LADY,服装,女装,010-62119868,
1010013100040048,POWERLAND,服装,女装,,
1010013100040049,卡娜娃,服装,女装,,
1010013100040050,HR,服装,女装,,
1010013100040051,comico,服装,女装,,
1010013100040052,美宝莲,个护化妆,化妆品,,
1010013100040053,Organic touch,个护化妆,化妆品,,
1010013100040054,CAMENAE,个护化妆,化妆品,,
1010013100040055,Top Gloria,服装,女装,,
1010013100040056,GASTONE LUCIOLI,服装,女鞋,,
1010013100040057,满记甜品,餐饮,冷饮,010-62118830,
1010013100040058,Adidas,体育,运动装,,
1010013100040059,Salad,服装,女装,,
1010013100040060,St. Dragon,服装,箱包,,
1010013100040061,Lesportsac,服装,包,,
1010013100040062,BIRKENSTOCK,服装,鞋,,
1010013100040063,GNC,,保健品,,
1010013100040064,le saunda,,女装,,
1010013100040065,SCOFIELD,服装,男装,,
1010013100040066,Bean Pole,服装,男装,010-62190593,
1010013100040067,CALVIN KLEIN,服装,内衣,010-62168369,
1010013100040068,Aimer,服装,内衣,,
1010013100040069,NINE WEST,服装,女装,,
1010013100040070,Joy&Peace,服装,男装,,
1010013100040071,STACCATO,服装,鞋,,
1010013100040072,曼妮芬,服装,内衣,,
1010013100040073,Wonder,服装,鞋,,
1010013100040074,Tata,服装,鞋,,
1010013100040075,TATUAGGI,服装,鞋,,
1010013100040076,G. Vill,服装,鞋,,
1010013100040077,KISSCAT,服装,鞋,,
1010013100040078,CHRISDIEN DENY,服装,鞋,,
1010013100040079,Vme,服装,鞋,,
1010013100040080,图卡,服装,鞋,,
1010013100040081,Hush Puppies,服装,女装,,
1010013100040082,dansko,服装,鞋,,
1010013100040083,ECCO,服装,鞋,,
1010013100040084,24HRS,服装,箱包,,
1010013100040085,嘉宝,服装,鞋,,
1010013100040086,Patrica,服装,鞋,,
1010013100040087,achette,服装,鞋,,
1010013100040088,Ara,服装,鞋,,
1010013100040089,Clarks,服装,鞋,,
1010013100040090,ORIGINALS,服装,鞋,,
1010013100040091,Hogl,服装,鞋,,
1010013100040092,BELLE,服装,鞋,,
1010013100050000,C31 ROTC,服装,鞋,,
1010013100050001,马亚诺,服装,鞋,,
1010013100050002,Frienti,服装,鞋,,
1010013100050003,HERRFURST,服装,鞋,,
1010013100050004,V.E.DELURE,服装,鞋,,
1010013100050005,SATCHI,服装,鞋,,
1010013100050006,s.t.dupont,服装,鞋,010-82148250,
1010013100050007,NEUBERLTN,服装,鞋,,
1010013100050008,Van Lathem,服装,鞋,,
1010013100050009,GORNIA,服装,男装,,
1010013100050010,KEVIN KELLY,服装,男装,,
1010013100050011,S.D.SPONTINI,服装,男装,,
1010013100050012,Tommy Hilfiger,服装,男装,,
1010013100050013,Wolsey,服装,男装,,
1010013100050014,比音勒芬,服装,男装,,
1010013100050015,诺帝卡,服装,女装,010-82148000,
1010013100050016,BossSunwen,服装,男装,,
1010013100050017,First Wert,服装,男装,,
1010013100050018,ROSSINI,其他,钟表,,
1010013100050019,飞亚达,其他,钟表,,
1010013100050020,Zippo,其他,生活用品,010-82148480,
1010013100050021,PARKER,其他,钢笔,010-82148480,
1010013100050022,欧洲胡同,其他,,,
1010013100050023,天王表,其他,钟表,,
1010013100050024,discovery,服装,男装,,
1010013100050025,卡尔蒂尼,服装,男装,,
1010013100050026,伯爵博朗,服装,男装,,
1010013100050027,TREYFUS,服装,男装,,
1010013100050028,PIDEBO,服装,男装,,
1010013100050029,MARK.BOSE,服装,男装,,
1010013100050030,米瓦法迪,服装,男装,,
1010013100050031,金利来 ,服装,男装,,
1010013100050032,ALEX BRUNI,服装,男装,,
1010013100050033,Timberland,体育,运动装,,
1010013100050034,Jeep,体育,运动装,15910873609,
1010013100050035,SUUNTO,体育,运动装,,
1010013100050036,AIGLE,体育,运动装,010-62110522,
1010013100050037,The North Face,体育,运动装,010-62110261,
1010013100050038,哥伦比亚 Columbia,体育,运动装,,
1010013100050039,Ozark Gear,体育,男装,,
1010013100050040,ECCO,体育,鞋,,
1010013100050041,ARCTERYX,体育,鞋,,
1010013100050042,JACK&JONES,服装,男装,,
1010013100050043,列维士,服装,男装,,
1010013100050044,Lee,服装,男装,,
1010013100050045,Satchi,服装,男装,,
1010013100050046,GANT,服装,男装,,
1010013100050047,Hush Puppies,服装,女装,,
1010013100050048,CAROKAI,服装,男装,,
1010013100050049,ANGELO NARDELLI,服装,男装,,
1010013100050050,FJALL RAVEN,体育,运动装,,
1010013100050051,Jack Wolfskin,体育,运动装,010-62167710,
1010013100050052,KOLON SPORT,体育,运动装,,
1010013100050053,DRAGON STAR,电器,电子数码,,
1010013100050054,LONDON FOG,服装,男装,13466558020,
1010013100050055,森卡诺,服装,男装,,
1010013100050056,POSEMER,服装,男装,,
1010013100050057,Lafuma,体育,运动装,,
1010013100050058,blackyak,体育,运动装,,
1010013100050059,依波表,其他,钟表,,
1010013100050060,BOSS SUNWEN,服装,男装,,
1010013100050061,GHRISDIEN DENY,服装,女装,,
1010013100050062,NORTHLAND,服装,女装,,
1010013100050063,圣大保罗,服装,男装,13811094164,
1010013100050064,MEYER,其他,男装,,
1010013100050065,Apple专卖,体育,运动装,,
1010013100050066,VICUTU,服装,男装,,
1010013100050067,观奇洋服,服装,男装,4000308610-9774,
1010013100050068,布兰施男鞋,服装,鞋,,
1010013100050069,GARDEUR,服装,男装,,
1010013100050070,Pierre Cardin,服装,男装,,
1010013100050071,爵士丹尼,服装,男装,,
1010013100050072,Menticano,服装,男装,,
1010013100050073,蓝豹,服装,男装,,
1010013100050074,金利来,服装,男装,,
1010013100050075,BRAUN BUFFEL,服装,箱包,,
1010013100050076,Jeep,体育,运动装,15910873609,
1010013100050077,JAGUAR,服装,男装,,
1010013100050078,CHARRIOL,其他,钟表,,
1010013100050079,Conino Lambozghini,服装,男装,,
1010013100050080,ELLE HOMME,服装,男装,,
1010013100050081,瑞士维氏军刀,其他,生活用品,,
1010013100050082,DUKE,其他,鞋,,
1010013100050083,LUCA BOSSI ,服装,男装,,
1010013100050084,九牧王,服装,男装,,
1010013100050085,虎都,服装,男装,,
1010013100050086,HANMSON,服装,男装,,
1010013100050087,凯萨大帝,服装,男装,,
1010013100050088,Charriol,其他,钟表,,
1010013100050089,Leonardo,服装,男装,,
1010013100050090,沙驰,服装,男装,,
1010013100050091,宾度,服装,男装,,
1010013100050092,策乐,服装,男装,,
1010013100050093,圣伽步,服装,鞋,010-82148276,
1010013100050094,V&G,个护化妆,化妆品,,
1010013100050095,BODY.WILD,服装,男装,,
1010013100050096,雅戈尔,服装,男装,,
1010013100050097,爱慕先生,服装,男装,,
1010013100050098,TITAN,服装,箱包,,
1010013100050099,巧手改衣,其他,服装服务,,
1010013100050100,CAMEL ACTIVE,体育,运动装,,
1010013100060000,Nike,体育,运动装,010-82148587,
1010013100060001,李宁,体育,运动装,,
1010013100060002,NEO,体育,运动装,,
1010013100060003,CONVERSE,体育,运动装,,
1010013100060004,ESPRIT,服装,女装,,
1010013100060005,馨亭,其他,家纺,,
1010013100060006,MINE,其他,家纺,,
1010013100060007,ZUCCHI,其他,家纺,,
1010013100060008,SHERIPAN,服装,家纺,,
1010013100060009,ESTEEM,服装,鞋,010-82148552,
1010013100060010,罗莱家纺,其他,家纺,,
1010013100060011,OSIM,电子数码,家用电器,010-82148579,
1010013100060012,瑞而士,其他,锅具,,
1010013100060013,利快,其他,锅具,,
1010013100060014,YONEX,体育,运动装,,
1010013100060015,Arena,体育,运动装,,
1010013100060016,Puma,体育,运动装,,
1010013100060017,热浪,体育,运动装,,
1010013100060018,hosa,体育,运动装,,
1010013100060019,Rapido,体育,运动装,,
1010013100060020,泰普尔,其他,家纺,,
1010013100060021,Yvonne,其他,家纺,,
1010013100060022,棉田,其他,家纺,,
1010013100060023,无印工坊,其他,家纺,,
1010013100060024,CARNIER THIEBAUT,其他,家纺,,
1010013100060025,陶仨坊,其他,陶器,,
1010013100060026,陆宝,其他,陶器,,
1010013100060027,FRANZ,其他,瓷器,,
1010013100060028,象印,其他,餐具,,
1010013100060029,Tiger,其他,餐具,,
1010013100060030,Luminaec,其他,餐具,,
1010013100060031,康宁餐具,其他,餐具,,
1010013100060032,Panasonic,电器,电子数码,,
1010013100060033,Dyson,电器,家用电器,010-81028546,
1010013100060034,BRITA,电器,家用电器,,
1010013100060035,飞利浦,电器,家用电器,4008800008,
1010013100060036,BRAUN,电器,家用电器,,
1010013100060037,kenwood,其他,,,
1010013100060038,京钟,电器,,,
1010013100060039,BOSE,电器,电子数码,010-62160816,
1010013100060040,JVC,电器,家用电器,,
1010013100060041,adidas,服装,运动装,,
1010013100060042,Nike,体育,运动装,010-82148587,
1010013100060043,VANS,服装,男装,,
1010013100060044,Lacoste,服装,男装,,
1010013100060045,Crocs,服装,男装,,
1010013100060046,Jeep,体育,运动装,15910873609,
1010013100060047,贝纳通,服装,儿童装,,
1010013100060048,孩之宝,服装,儿童装,,
1010013100060049,Kuhn rikon,其他,餐具,,
1010013100060050,三叉牌,其他,餐具,,
1010013100060051,OQO,其他,餐具,,
1010013100060052,WOLL,其他,餐具,,
1010013100060053,WMF,其他,餐具,,
1010013100060054,Fissler,其他,餐具,010-21848509,
1010013100060055,CATIMINI,服装,儿童装,,
1010013100060056,BEEN KID'S,服装,儿童装,,
1010013100060057,KP,服装,儿童装,,
1010013100060058,ELAND KIDS,服装,儿童装,,
1010013100060059,Paw in Paw,服装,儿童装,,
1010013100060060,多样屋,其他,家居,,
1010013100060061,味千拉面,餐饮,正餐,010-62159693,
1010013100060062,红双喜,其他,厨房卫浴,,
1010013100060063,UCHINO,其他,厨房卫浴,,
1010013100060064,双立人,其他,厨房卫浴,010-82148384,
1010013100060065,T-OPPAPEORETTI,,,,
1010013100060066,SONY,电器,电子数码,,
1010013100060067,呷哺呷哺,餐饮,正餐,,
1010013100060068,Disney Princess,儿童母婴,儿童用品,,
1010013100060069,喜洋洋与灰太狼童装,服装,童装,,
1010013100060070,NIKE KIDS,服装,儿童装,,
1010013100060071,adidas kids,服装,儿童装,,
1010013100060072,JNBY by JNBY,服装,儿童装,,
1010013100060073,好孩子,服装,儿童装,,
1010013100060074,CAMKIDS,服装,儿童装,,
1010013100060075,海辰贝贝,服装,儿童装,,
1010013100060076,小猪班纳,服装,儿童装,,
1010013100060077,水孩儿,服装,儿童装,,
1010013100060078,callise,服装,儿童装,,
1010013100060079,AIMER KIDS,服装,儿童装,,
1010013100060080,丽婴房,服装,儿童装,,
1010013100060081,Hallmark,服装,儿童装,,
1010013100060082,Senbodulun,服装,儿童装,,
1010013100060083,英氏,服装,儿童装,,
1010013100060084,chicco,服装,儿童装,,
1010013100060085,芭比,服装,儿童装,,
1010013100060086,LEGO,儿童母婴,儿童用品,,
1010013100060087,FisherPrice,儿童母婴,儿童用品,,
1010013100060088,Hape,服装,儿童装,,
1010013100060089,法纳贝儿,服装,儿童装,,
1010013100060090,canlemon,服装,儿童装,,
1010013100060091,惠葆,服装,儿童装,,
1010013100060092,兄妹猫,服装,儿童装,,
1010013100060093,MOONSTAR,服装,儿童装,,
1010013100060094,NATURINA,个护化妆,化妆品,,
1010013100060095,米皇,服装,,,
1010013100060096,兔皇,服装,,,
1010013100060097,蕾沃尔,服装,,,
1010013100060098,金利来,服装,,,
1010013100060099,鄂尔多斯,服装,,,
1010013100060100,雪莲,服装,,,
1010013100060101,珍贝,服装,,,
1010013100060102,帕罗,服装,,,
1010013100060103,三星手机,电器,电子数码,,
1010013100060104,方太,电器,电子数码,,
1010013100060105,SAMSUNG,电器,电子数码,,
1010013100060106,SHARP,电器,电子数码,,
1010013100060107,SIEMENS,电器,电子数码,,
1010013100060108,SIEMENS,电器,电子数码,,
1010013100060109,ARISTON,电器,电子数码,,
1010013100060110,见现冰激凌,餐饮,冷饮,,
1010013100060111,权味,餐饮,正餐,010-82513988,
1010013100060112,姑姑宴,餐饮,正餐,010-62129380,
1010013100060113,和合谷,餐饮,正餐,,
1010013100060114,儿童套房,儿童母婴,儿童用品,,
1010013100060115,BABYROOM,儿童母婴,母婴用品,,
1010013100060116,爱康,体育,体育用品,,
1010013100060117,New balance,服装,男装,010-82148582,
1010013100060118,三菱,服装,,,
1010013100060119,鹿王,服装,,,
