HuaRunWuCaiCheng,8.511533511,116.339941,40.0361,125.5,177.8,116.339694,40.035289,99.5,84.7,,,,
HuaTangShangChang,1.812072803,116.299957,39.872774,3.7,49.8,116.299759,39.873577,94.7,53.1,,,,
HuaYuShiShangGouWuZhongXin,21.68365583,116.32984,39.971143,26.5,27.2,116.329965,39.971523,47,95.6,,,,
JinBaoHuiGouWuZhongXin,1.759730104,116.427286,39.921565,4.3,59,116.428319,39.921565,90.6,59,,,,
JinDiGuangChang,3.988373759,116.48012,39.915287,5.4,63.3,116.480138,39.91481,5.4,5.4,116.481844,39.915533,155,80.9
JinRongJieGouWuZhongXin,20.37749674,116.366848,39.921318,54.5,109,116.369448,39.920989,252.6,29.7,,,,
JiuLongBaiHuo,11.04708939,116.500518,39.967664,15.6,12,116.50196,39.96812,102.561,126.254,116.501102,39.967301,102.115,12.091
JunTaiBaiHuo,5.331257184,116.379451,39.915078,32.3,31.1,116.380089,39.915109,83.6,33.9,,,,
KaiDeJingPinGouWuZhongXin,3.975784932,116.304921,39.914844,191.9,80.7,116.304907,39.914277,191.1,11.2,,,,
KaiDeMALLWangJing,7.674564203,116.475583,39.998723,6.6,205.9,116.474245,39.999683,154.7,212,,,,
KaiDeMallXiZhiMen,17.36949505,116.359403,39.948054,6.3,71.3,116.359219,39.946298,200,43,,,,
KaiDeMaoTaiYangGong,4.888515007,116.454015,39.977678,5.2,125.3,116.452941,39.976855,5.2,8,116.455304,39.976907,143.831,140.8
LanDaoDaShaEast,11.55898075,116.455104,39.928061,28.2,66.5,116.455333,39.928504,4.6,12.5,116.454525,39.928072,91.6,69.2
LanDaoDaShaWest,16.94697955,116.455513,39.927833,80.1,70,116.455477,39.928293,71.724,19.605,,,,
LanSeGangWanGuoJiShangQu,11.08165638,116.481113,39.953854,44.3,73.6,116.485182,39.954943,414.1,15.1,,,,
LeChengGouWuZhongXin£¨east£©,3.237260638,116.469872,39.899531,102.6,156.3,116.46941,39.899531,102.6,120.4,,,,
LeTianYinTaiBaiHuo,12.90164265,116.417783,39.922943,7.4,17.3,116.418869,39.922016,131.6,116.5,,,,
OuLuShiShangGouWuZhongXin,4.772423538,116.553415,40.073289,8.1,78.9,116.554695,40.072405,143.2,22.297,,,,
OuMeiHui,9.538955397,116.319634,39.985939,5.6,72.9,116.3217,39.985072,190.2,56.7,116.320483,39.984896,125.7,16.5
QiaoFuFangCaoDi,10.23417086,116.454434,39.924779,16.2,21.1,116.456195,39.925827,172.6,148,,,,
ShengXi8Hao,12.48951945,116.359573,40.014953,2.7,127.7,116.3596,40.014131,2.7,42.2,116.361496,40.014991,194.4,127.9
ShiMaoBaiHuo,10.00450889,116.455462,39.939977,2,109.3,116.456464,39.940004,15.2,18.7,,,,
ShouDiDaXiaGuGouWuZhongXin,4.250893546,116.372894,39.860054,11.3,30.8,116.373945,39.861009,135.4,97.1,116.3743,39.860275,135.4,9.9
ShuangAnShangChang,1.328442443,116.331806,39.972615,1.9,95,116.331869,39.971799,1.9,5.3,116.332956,39.971844,97.3,5.5
SiPuRuiSiAoTeLaiSi,16.58150283,116.601536,40.015675,8.2,111.5,116.603104,40.015651,8,7.3,,,,
SOHOShangDou(NanBeiTa),21.94200316,116.458993,39.924821,2.6,45.4,116.460013,39.923607,104.7,93,,,,
SOHOShangDou(XiTa),6.782278913,116.457509,39.924906,6.1,72.6,116.458466,39.924328,101.4,10,,,,
TianHong(GuoZhanDian),4.254676076,116.448263,39.964928,2.9,70.7,116.448766,39.965067,39.7,88.5,116.44935,39.964631,92.8,41.7
TianHongGuangAnMenDian,2.894445554,116.348495,39.894642,129.4,96,116.348522,39.894002,129.4,24.3,,,,
WangJingHuaCaiShangYeZhongXin,5.314499896,116.476465,40.01682,151.5,105.4,116.476465,40.01615,151.3,29,,,,
XiDanDaYueCheng,3.649950517,116.380005,39.916449,8.6,7.4,116.37868,39.917594,137.5,120.1,,,,
XinGuangTianDi,5.816047859,116.48664,39.916628,0.4,143,116.48664,39.916296,37.2,143,,,,
XinHuaBaiHuo,9.275420768,116.37741,39.952979,3.7,76,116.37714,39.953944,111.5,76,116.377922,39.954054,126,23.1
XinShiJieBaiHuo(ChongWenMenDian),15.98199115,116.423929,39.903601,3.8,66.6,116.423929,39.905361,199.9,67.8,,,,
XinShiJieLiYingBaiHuo,6.691735258,116.486144,39.993212,11.7,36.2,116.486018,39.993098,11.7,14.5,116.487451,39.991996,180,6.1
XinShiJieXuanCaiBaiHuo,1.602081242,116.478543,39.914796,25.9,-98.8,116.479374,39.915328,98.1,-39,,,,
XinZhongGuan,4.131277234,116.321071,39.984438,8.6,60.3,116.321929,39.984245,77,36.6,116.322086,39.984255,95.5,37
YangGuangXinChengShiGuangChang,2.938925595,116.511427,39.92149,26.6,56.5,116.511239,39.921054,9.9,7,,,,
YanShaYouYiShangCheng,11.30756762,116.470252,39.95513,3.4,102,116.469533,39.954894,3.7,27,116.470085,39.954217,113.1,73
YinTaiBaiHuo(DaHongMenDian),5.38058274,116.392392,39.851019,90.2,99.7,116.392248,39.85024,95.3,8.2,,,,
YinZuoMall,19.88383395,116.442705,39.946425,4.5,103.6,116.442067,39.946435,10.4,41.9,116.441798,39.945982,91.1,10.7
YiShiDaGuangChang,3.620942828,116.427601,40.048146,8.5,72.9,116.427623,40.049206,125.4,76.6,,,,
YongWangGuoJiShangChengGouWuZhongXin,26.13366068,116.297418,40.101614,8,435,116.298046,40.10211,7.5,344.5,116.295262,40.104004,369.3,344.5
YouTangGuangChang,15.44077442,116.444771,39.928144,115,230.3,116.446851,39.928176,298,239,,,,
YuanYangWeiLai,6.145584183,116.43776,39.996688,4.5,-38.8,116.439853,39.996733,179.1,-40.8,,,,
ZhangAnShangChang,4.040157831,116.350875,39.91349,1.2,-39.8,116.352586,39.913784,149.8,-8.9,,,,
ZhuangShengChongGuang,7.8553135,116.381586,39.903462,5.7,73.9,116.382916,39.903573,112.9,83.3,,,,
ZhuoZhanGouWuZhongXin,10.53389969,116.28261,39.918146,8.4,25.5,116.286266,39.920283,307.4,240.9,,,,
