AiQinHaiGouWuZhongXin/116.443445,39.978452/116.443539,39.977432/116.442596,39.978472/116.442483,39.9771/5.393,-4.738/118.8,-1.7/5.3,-96.9/154.9,-100.6
JinRongJieGouWuZhongXin/116.366812,39.921809/116.367441,39.921356/116.369821,39.921573/116.367782,39.920961/12.47,-44.086/81.145,-91.098/296.111,-96.168/113.592,-141.798
KaiDeMaoTaiYangGong/116.454015,39.977678/116.452941,39.976855/116.455304,39.976907/116.454037,39.977049/5.2,125.3/5.2,8.0/143.831,140.8/55.8,84.4
ShuangAnShangChang/116.331811,39.972611/116.331852,39.97181/116.332885,39.972629/116.332957,39.971848/2.0,95.116/1.8,5.4/97.2,91.2/97.4,5.645
ShengXi 8Hao/116.359573,40.014953/116.3596,40.014131/116.361496,40.014991/116.361595,40.014266/2.7,127.7/2.7,42.2/194.4,127.9/194.7,42.392
SiPuRuiSiAoTeLaiSi/116.601536,40.015675/116.603104,40.015651/116.601675,40.017934/116.603283,40.017913/8.2,111.5/8.0,7.3/252.6,111.6/252.9,9,3
SOHOShangDou (XiTa )/116.457509,39.924906/116.457522,39.92465/116.458461,39.924881/116.458466,39.924328/6.1,72.6/6.3,42.4/101.0,72.6/101.4,10.0
TianHong (GuoZhanDian )/116.448263,39.964928/116.448249,39.964527/116.448766,39.965067/116.44935,39.964631/2.9,70.7/7.4,18.4/39.7,88.5/92.8,41.7
XinShiJieLiYingBaiHuo/116.486154,39.993212/116.48602,39.993102/116.488131,39.992321/116.487448,39.992003/14.2,47.3/13.9,19.7/234.4,72.9/217.2,8.5
XinZhongGuan/116.321071,39.984438/116.321929,39.984245/116.322679,39.984466/116.322086,39.984255/8.6,60.3/77.0,36.6/135.0,59.6/95.5,37.0
YanShaYouYiShangCheng/116.470252,39.95513/116.469533,39.954894/116.470085,39.954217/116.469519,39.954075/3.4,102.0/3.7,27.0/113.1,73.0/109.2,2.5
YinZuo Mall/116.44196,39.946407/116.441615,39.946252/116.44254,39.946411/116.44254,39.945927/30.206,127.663/3.264,96.758/81.977,127.135/81.977,63.213
ZhuoZhanGouWuZhongXin/116.28261,39.920193/116.28261,39.918146/116.286266,39.920283/116.286347,39.919412/7.9,241.5/8.4,25.5/307.4,240.9/307.4,153.2
YuanYangWeiLai/116.43776,39.996688/116.437814,39.996111/116.439853,39.996733/116.43988,39.996056/4.5,-38.8/12.9,-109.6/179.1,-40.8/173.7,-109.1
YouTangGuangChang/116.444771,39.928144/116.443972,39.926792/116.446851,39.928176/116.446941,39.927273/115.0,230.3/22.4,81.0/298.0,239.0/316.3,116.6
HuaTangShangChang/116.299957,39.872774/116.300276,39.872895/116.299759,39.873577/116.300316,39.873633/3.7,49.8/17.3,19.4/94.7,53.1/91.181,4.5
JinBaoHuiGouWuZhongXin/116.427286,39.921565/116.427277,39.921098/116.428319,39.921565/116.428328,39.921081/4.3,59.0/4.4,4.8/90.6,59.0/90.8,4.9/
JinDiGuangChang/116.48012,39.915287/116.480138,39.91481/116.481844,39.915533/116.481885,39.914755/5.4,63.3/5.4,5.4/155.0,80.9/155.4,5.3/
JiuLongBaiHuo/116.501322,39.968528/116.500518,39.967664/116.50196,39.96812/116.501102,39.967301/11.3,135.5/15.6,12.0/102.561,126.254/102.115,12.091/
KaiDeMallXiZhiMen/116.359403,39.948054/116.358774,39.947854/116.359852,39.946665/116.359219,39.946298/6.3,71.3/12.1,43.0/200.0,104.4/200.0,43.0/
KaiDeJingPinGouWuZhongXin/116.302859,39.914875/116.303169,39.914305/116.304921,39.914844/116.304907,39.914277/14.0,81.0/38.7,11.2/191.9,80.7/191.1,11.2/
LanDaoDaShaEast/116.455104,39.928061/116.455333,39.928504/116.454525,39.928072/116.454556,39.92849/28.2,66.5/4.6,12.5/91.6,69.2/99.3,9.8/
LanDaoDaShaWest/116.456434,39.927888/116.455948,39.928283/116.455513,39.927833/116.455477,39.928293/44.5,69.6/11.8,19.468/80.1,70.0/71.724,19.605/
LanSeGangWanGuoJiShangQu/116.480251,39.955005/116.481113,39.953854/116.483242,39.956146/116.485182,39.954943/46.8,214.7/44.3,73.6/296.2,214.4/414.1,15.1/
LeTianYinTaiBaiHuo/116.418277,39.922939/116.417783,39.922943/116.418869,39.922016/116.418003,39.922085/5.5,66.6/7.4,17.3/131.6,116.5/128.6,38.8/
OuMeiHui/116.319764,39.986026/116.319634,39.985939/116.3217,39.985072/116.320483,39.984896/10.1,88.4/5.6,72.9/190.2,56.7/125.7,16.5/
OuLuShiShangGouWuZhongXin/116.553415,40.073289/116.553159,40.072854/116.55478,40.072947/116.554695,40.072405/8.1,78.9/8.5,23.4/143.2,79.1/143.2,22.297
QiaoFuFangCaoDi/116.454438,39.925844/116.454434,39.924779/116.456195,39.925827/116.456195,39.924779/15.5,148.0/16.2,21.1/172.6,148.0/192.9,21.1
ShiMaoTianJie/116.45729,39.922884/116.457272,39.922649/116.459185,39.92287/116.459181,39.922566/4.391,202.181/48.031,166.149/164.137,202,181/166.139,166.149
ShiMaoBaiHuo/116.455462,39.939977/116.456464,39.940004/116.455938,39.941377/116.456464,39.941384/2.0,109.3/15.2,18.7/165.5,96.3/165.8,18.5/
ShouDiDaXiaGuGouWuZhongXin/116.372755,39.860656/116.372894,39.860054/116.373945,39.861009/116.3743,39.860275/35.1,106.3/11.3,30.8/135.4,97.1/135.4,9.9/
ShuangAnShangChang/116.331806,39.972615/116.331869,39.971799/116.332889,39.972625/116.332956,39.971844/1.9,95.0/1.9,5.3/97.1,91.3/97.3,5.5
WangJingHuaCaiShangYeZhongXin/116.474749,40.016751/116.47514,40.016147/116.476465,40.01682/116.476465,40.01615/9.2,95.2/24.0,30.4/151.5,105.4/151.3,29.0/
XiDanDaYueCheng/116.378814,39.916391/116.380005,39.916449/116.37868,39.917594/116.379991,39.917591/9.8,115.5/8.6,7.4/137.5,120.1/138.1,3.5/
XinGuangTianDi/116.48664,39.916628/116.484843,39.916583/116.48664,39.916296/116.484906,39.914801/0.4,143.0/0.7,0.7/37.2,143.0/193.5,1.4/
XinShiJieLiYingBaiHuo/116.486144,39.993212/116.486018,39.993098/116.488129,39.992321/116.487451,39.991996/11.7,36.2/11.7,14.5/194.0,54.4/180.0,6.1
YinTaiBaiHuo(DaHongMenDian)/116.391466,39.851313/116.391201,39.850268/116.392392,39.851019/116.392248,39.85024/6.3,108.6/6.1,7.8/90.2,99.7/95.3,8.2/
YiShiDaGuangChang/116.427601,40.048146/116.428319,40.048212/116.427623,40.049206/116.428409,40.04915/8.5,72.9/22.9,16.1/125.4,76.6/131.0,9.8/
YangGuangXinChengShiGuangChang/116.511427,39.92149/116.511239,39.921054/116.513125,39.92148/116.513237,39.921106/26.6,56.5/9.9,7.0/178.8,55.0/178.5,11.5
DongFangXinTianDi/116.418181,39.915825/116.420616,39.915265/116.423607,39.915922/116.421245,39.915279/8.4,83.2/204.0,12.4/460.1,81.3/265.2,11.7/
FengLianGuangChang/116.44241,39.92896/116.442374,39.928355/116.443241,39.92969/116.443951,39.928867/6.6,125.2/14.7,45.9/69.4,193.3/155.2,125.2
FuLiGuangChang/116.467022,39.89954/116.467538,39.899647/116.46708,39.90275/116.467444,39.902826/3.7,-6.9/17.4,-40.9/329.0,-5.0/328.8,-35.5/
HuaLianShangSha (HuiLongGuanDian )/116.325065,40.082812/116.325397,40.081746/116.326884,40.083178/116.327045,40.082798/7.5,131.5/16.6,7.7/167.7,132.7/167.8,87.8/
JunTaiBaiHuo/116.379177,39.91596/116.379451,39.915078/116.37999,39.915887/116.380089,39.915109/4.5,133.9/32.3,31.1/83.84,110.2/83.6,33.9/
KaiDe MALLWangJing/116.475008,39.998612/116.475583,39.998723/116.474245,39.999683/116.474851,39.999572/35.6,239.0/6.6,205.9/154.7,212.0/104.0,189.7/
ZhangAnShangChang/116.350911,39.913774/116.350875,39.91349/116.352586,39.913784/116.352519,39.913494/1.2,-4.0/1.2,-39.8/149.8,-8.9/150.2,-38.1/
ZhuangShengChongGuang/116.381586,39.903462/116.381797,39.90285/116.382916,39.903573/116.382925,39.90286/5.7,73.9/41.4,11.3/112.9,83.3/114.2,5.9
ChaoYangDaYueCheng/116.52518,39.931249/116.524304,39.931253/116.526105,39.930371/116.525005,39.929935/32.387,-44.723/3.371,-98.358/152.847,-114.185/120.416,-199.639
MSRA/116.316277,39.986786/116.316259,39.986424/116.317233,39.986797/116.317188,39.986444/8.87,-11.523/10.143,-54.796/89.944,-11.777/99.798,-54.669
YongWangGuoJiGouWuZhongXin/116.295263,40.103997/116.294746,40.103563/116.298039,40.102072/116.297414,40.101579/6.77,310.048/6.37,247.399/320.346,314.116/321.16,247.399
